close_value,cv_diff_value,cv_diff_rate,cv_ma3_value,cv_ma4_value,cv_ma5_value,cv_ma3_rate,cv_ma4_rate,cv_ma5_rate,ud_3d,ud_4d,ud_5d,cv3d_diff_rate,cv4d_diff_rate,cv5d_diff_rate,cv_diff_rate_rate,Skhynix_cv_diff_value,samsung_cv_diff_value,kosdaq_diff_rate,predict_value
1985,0,0.0,1982,1982,1982,0.08403361300000001,0.126182965,0.10101010099999999,0,0,0,0.012594458000000001,0.015151515,0.017721518999999998,0.0,100,24000,-0.29,0.000860062613583068
1985,0,0.0,1980,1980,1980,0.168350168,0.126342388,0.151745068,0,0,0,0.002525253,0.005063291,0.005063291,-0.252525253,2200,29000,1.14,0.0020809651468880475
1985,5,0.252525253,1977,1977,1977,0.16863406399999997,0.18987341800000002,0.151975684,0,0,0,0.005063291,0.005063291,0.007614213000000001,-0.000639304,-500,-11000,-0.64,0.003974835188273573
1980,5,0.253164557,1974,1974,1974,0.16891891899999997,0.12674271199999998,0.101419878,0,0,0,0.005063291,0.007614213000000001,0.007614213000000001,0.253164557,-1100,-16000,-3.1,0.002543756811064668
1975,0,0.0,1972,1972,1972,0.084530854,0.063411541,0.050735667000000005,0,0,0,0.0050761420000000005,0.0050761420000000005,0.0050761420000000005,-0.253807107,-1100,-20000,-0.25,0.002551024270360358
1975,5,0.253807107,1971,1971,1971,0.08460236900000001,0.063451777,0.050761420999999994,0,0,0,0.0025380710000000003,0.0025380710000000003,0.0025380710000000003,0.253807107,1300,12000,0.17,0.0022113357699709013
1970,0,0.0,1970,1970,1970,0.0,0.0,0.050787202000000004,0,0,0,0.0025380710000000003,0.0025380710000000003,0.0025380710000000003,0.0,-2000,-30000,-0.3,0.0011542968859430403
1970,0,0.0,1969,1969,1969,0.0,0.063492063,0.10167768199999999,-1,-1,0,0.0,0.0,0.002544529,0.0,1700,1000,0.83,-0.0020772206044057384
1970,0,0.0,1967,1967,1967,0.084674005,0.12714558199999998,0.0508647,-1,0,0,0.0,0.002544529,0.005102041,0.0,2500,33000,0.32,-0.002189309860114008
1970,0,0.0,1966,1966,1966,0.169635284,0.063613232,0.050890585,0,0,0,0.002544529,0.005102041,0.002544529,-0.254452926,0,-17000,1.23,0.0024007764313864755
1970,5,0.254452926,1965,1965,1965,0.084889643,0.06365372400000001,0.0,0,0,0,0.005102041,0.002544529,0.002544529,-0.000649115,200,24000,0.36,0.0038999218363642285
1965,5,0.255102041,1965,1965,1965,0.0,-0.063613232,-0.0508647,0,0,0,0.002544529,0.002544529,0.0,0.509554967,800,-33000,-0.55,0.0007624406352988444
1960,-5,-0.254452926,1966,1966,1966,-0.169491525,-0.127064803,-0.050838840999999996,0,0,0,0.0,-0.0025380710000000003,-0.0025380710000000003,-0.254452926,1200,79000,-1.11,-0.0008173331734724343
1965,0,0.0,1967,1967,1967,-0.084674005,0.0,0.0,-1,-1,0,-0.0050761420000000005,-0.0050761420000000005,-0.002544529,0.253807107,2300,49000,-0.68,-0.0036841153050772846
1965,-5,-0.253807107,1967,1967,1967,0.0,0.0,-0.050813008,-1,0,0,-0.0025380710000000003,0.0,0.0,-0.253807107,-100,-5000,0.62,-0.003344426813782775
1970,0,0.0,1968,1968,1968,0.084745763,0.0,0.0,0,0,0,0.0,0.0,-0.0025380710000000003,-0.254452926,1300,16000,-0.21,0.0022186314017744735
1970,5,0.254452926,1968,1968,1968,0.0,0.0,-0.050787202000000004,0,0,0,0.002544529,0.0,0.0,0.254452926,500,-2000,-0.25,0.002327291054825764
1965,0,0.0,1969,1969,1969,-0.084674005,-0.126903553,-0.050761420999999994,0,0,0,0.0,0.0,-0.0025316460000000002,0.253807107,1300,1000,0.97,-0.0008308990363730118
1965,-5,-0.253807107,1970,1970,1970,-0.169061708,-0.063411541,-0.050735667000000005,-1,-1,0,-0.0025380710000000003,-0.005063291,-0.0025380710000000003,-0.253807107,-800,-36000,-1.87,-0.003246348715038039
1970,0,0.0,1971,1971,1971,0.0,0.0,0.0,-1,0,0,-0.005063291,-0.0025380710000000003,-0.0025380710000000003,0.253164557,1600,47000,0.44,-0.0035821821220451966
1970,-5,-0.253164557,1971,1971,1971,0.0,0.0,0.10157440300000001,0,0,0,0.0,0.0,0.0,-0.5069716639999999,200,-7000,1.77,0.0008533188001820236
1975,5,0.253807107,1969,1969,1969,0.08460236900000001,0.190597205,0.050813008,0,0,0,0.0,0.0,0.005102041,0.253807107,400,-32000,0.47,0.002337436173547758
1970,0,0.0,1968,1968,1968,0.169491525,0.0,0.0,0,0,0,0.0025380710000000003,0.007653061,0.0025380710000000003,0.0,-1000,-1000,0.66,0.0010141853272216395
1970,0,0.0,1968,1968,1968,0.0,0.0,0.0,0,0,0,0.005102041,0.0,0.0,-0.510204082,700,64000,0.79,0.0038371905829990283
1970,10,0.510204082,1968,1968,1968,0.0,0.0,-0.050787202000000004,0,0,0,0.0,0.0,0.0,1.017818295,-600,-1000,0.32,0.0009668029379099607
1960,-10,-0.507614213,1969,1969,1969,-0.16920473800000002,-0.19023462300000002,-0.10147133400000001,0,0,0,0.0,0.0,-0.0025316460000000002,-0.507614213,-400,3000,0.28,-0.002108695662172977
1970,0,0.0,1971,1971,1971,-0.084530854,0.0,-0.050709939,-1,-1,0,-0.0050761420000000005,-0.0075949369999999995,-0.0050761420000000005,0.0,-500,-49000,1.43,-0.0017689751548459753
1970,0,0.0,1972,1972,1972,0.0,-0.06337135599999999,-0.050684237,-1,0,0,-0.0025316460000000002,0.0,-0.0025316460000000002,0.253164557,800,-23000,-0.56,-0.0034700928736128844
1970,-5,-0.253164557,1973,1973,1973,-0.084459459,-0.063331222,-0.050658561,0,0,0,0.0,-0.0025316460000000002,-0.0025316460000000002,-0.5069716639999999,1300,20000,1.13,0.0006991960835875943
