close_value,cv_diff_value,cv_diff_rate,cv_ma3_value,cv_ma4_value,cv_ma5_value,cv_ma3_rate,cv_ma4_rate,cv_ma5_rate,ud_3d,ud_4d,ud_5d,cv3d_diff_rate,cv4d_diff_rate,cv5d_diff_rate,cv_diff_rate_rate,Skhynix_cv_diff_value,samsung_cv_diff_value,kosdaq_diff_rate
2005,-5,-0.248756219,2011,2011,2011,-0.165837479,-0.186335404,-0.049701789,0,0,0,0,-0.004962779,-0.007425743,-0.498132778,1000,1000,0.68
2010,5,0.249376559,2012,2012,2012,-0.165562914,0,0.099502488,0,0,0,-0.004962779,-0.007425743,-0.002487562,0.745654475,900,-10000,0.82
2005,-10,-0.496277916,2010,2010,2010,-0.082712986,0.062150404,-0.049726504,0,0,0,-0.004950495,0,0.005,-0.248753164,1200,36000,1.11
2015,-5,-0.247524752,2011,2011,2011,0.248756219,0.062189055,0.099552016,0,0,0,-0.002487562,0.0025,-0.002487562,-0.74503719,1200,48000,-0.54
2020,10,0.497512438,2009,2009,2009,0.166112957,0.186915888,0.149551346,0,0,0,0.0075,0.002487562,0.004987531,-0.002487562,-300,56000,1.76
2010,10,0.5,2006,2006,2006,0.08312552,0.06234414,0.049875312,0,0,0,0.004975124,0.007481297,0.007481297,0.997512438,1800,12000,-0.02
2000,-10,-0.497512438,2005,2005,2005,-0.083056478,-0.062305296,-0.049850449,0,0,0,0.002493766,0.002493766,0.002493766,-0.746888997,1800,36000,-1.18
2010,5,0.249376559,2006,2006,2006,0.08312552,0.06234414,0.099800399,0,0,0,-0.002493766,-0.002493766,-0.002493766,0.249376559,-600,-22000,-2.1
2005,0,0,2004,2004,2004,0,0.062383032,-0.049875312,0,0,0,0.002493766,0.002493766,0.005,0,100,8000,0.34
2005,0,0,2005,2005,2005,0.083194676,-0.06234414,-0.049850449,-1,0,0,0,0.0025,-0.002487562,0,100,6000,0.2
2005,0,0,2006,2006,2006,-0.08312552,-0.062305296,0,0,0,0,0.0025,-0.002487562,-0.002487562,-0.25,900,6000,0.37
2005,5,0.25,2006,2006,2006,-0.083056478,0,-0.099601594,0,0,0,-0.002487562,-0.002487562,0,0.747512438,-300,-1000,-0.24
2000,-10,-0.497512438,2008,2008,2008,-0.082987552,-0.186567164,-0.099502488,0,0,0,-0.002487562,0,-0.004962779,-0.497512438,-500,-46000,-0.65
2010,0,0,2010,2010,2010,-0.08291874,0,0.049776008,0,0,0,-0.002493766,-0.007444169,-0.004975124,-0.249376559,300,-25000,-0.02
2010,5,0.249376559,2009,2009,2009,0,0.062227754,0.099651221,0,0,0,-0.00248139,0,0.002493766,0.745654475,100,2000,1.07
2005,-10,-0.496277916,2007,2007,2007,0,0.062266501,0.049850449,0,0,0,0,0.002493766,0.005,-0.745034135,-200,24000,0.34
2015,5,0.248756219,2006,2006,2006,0.249376559,0.187149095,0.099800399,0,0,0,0,0.0025,0.0025,-0.00062034,1000,8000,0.82
2010,5,0.249376559,2004,2004,2004,0.166527893,0.062421973,0.0999001,1,0,0,0.0075,0.0075,0.004987531,-0.000623441,200,-3000,-0.83
2005,5,0.25,2002,2002,2002,0,0.062460962,0,0,0,0,0.005,0.002493766,0.005,0.25,600,-7000,0.52
2000,0,0,2002,2002,2002,0,-0.062421973,0,0,0,0,0,0.0025,0,0.249376559,300,42000,0.7
2000,-5,-0.249376559,2002,2002,2002,-0.083194676,0,-0.099800399,0,0,0,0,-0.002493766,0,-0.499376559,1000,60000,0.26
2005,5,0.25,2004,2004,2004,0.083263947,-0.062383032,-0.099700897,0,0,0,-0.002493766,0,-0.004975124,0.499376559,3700,19000,0.93
2000,-5,-0.249376559,2006,2006,2006,-0.166251039,-0.186799502,-0.149328024,0,0,0,0.0025,-0.002487562,-0.004962779,-0.499376559,-3000,-64000,-1.48
2005,5,0.25,2009,2009,2009,-0.165975104,-0.124378109,0.049800797,0,0,0,-0.004975124,-0.007444169,-0.007444169,0.747512438,200,-19000,-1.02
2000,-10,-0.497512438,2008,2008,2008,-0.248344371,0,-0.099502488,0,0,0,-0.004962779,-0.004962779,0.0025,-0.24937348,-2100,-72000,-1.31
2010,-5,-0.248138958,2010,2010,2010,0.165837479,0,0.099601594,-1,0,0,-0.007444169,0,-0.004975124,-0.248138958,2200,7000,0.02
2015,0,0,2008,2008,2008,0.082987552,0.186915888,0.149625935,0,0,0,0.005,0,0.005,-0.75,100,-6000,0.74
2015,15,0.75,2005,2005,2005,0.249584027,0.187265918,0.0499002,0,0,0,0.002487562,0.0075,0.0075,1.247512438,-1500,-4000,0.25
2000,-10,-0.497512438,2004,2004,2004,0,-0.124688279,-0.099700897,0,0,0,0.0075,0.0075,0.002487562,-0.997512438,-2500,-61000,-3.17
2010,10,0.5,2006,2006,2006,0,0,0,0,0,0,0,-0.004975124,-0.004975124,0.5,2500,20000,0.6
2000,0,0,2006,2006,2006,-0.166112957,-0.124533001,-0.04982561,0,0,0,0,0,0,0.497512438,-500,20000,-0.19
2000,-10,-0.497512438,2007,2007,2007,-0.165837479,-0.062227754,-0.049800797,-1,-1,0,-0.004975124,-0.004975124,-0.002493766,-0.497512438,1400,22000,-0.16
2010,0,0,2008,2008,2008,0.082987552,0.062266501,0.099700897,-1,0,0,-0.004975124,-0.002493766,-0.002493766,0,-3800,-102000,-2.92
2010,0,0,2006,2006,2006,0.083056478,0.124688279,0.049875312,0,0,0,0.002493766,0.002493766,0.005,-0.249376559,1600,-2000,-0.34
2010,5,0.249376559,2005,2005,2005,0.166389351,0.062383032,0.0499002,0,0,0,0.002493766,0.005,0.002493766,0.249376559,-3600,-8000,-0.87
2005,0,0,2004,2004,2004,0,0,-0.049875312,0,0,0,0.005,0.002493766,0.002493766,-0.25,-2600,-43000,-1.54
2005,5,0.25,2005,2005,2005,0,-0.06234414,-0.099651221,0,0,0,0,0,-0.002487562,0.499376559,1800,-11000,0.82
2000,-5,-0.249376559,2007,2007,2007,-0.166112957,-0.186683261,-0.149253731,0,0,0,0,-0.002487562,-0.004962779,-0.249376559,-100,-6000,0.11
2005,0,0,2010,2010,2010,-0.165837479,-0.124300808,0,-1,-1,-1,-0.004975124,-0.007444169,-0.007444169,0.248756219,300,23000,0.35
2005,-5,-0.248756219,2010,2010,2010,-0.165562914,0,-0.049726504,-1,-1,0,-0.004962779,-0.004962779,0,-0.000617261,200,-5000,1.21
2010,-5,-0.248138958,2011,2011,2011,0.082850041,0,0,-1,0,0,-0.004962779,0,-0.002487562,-0.248138958,-400,10000,2.27
2015,0,0,2011,2011,2011,0.08291874,0.062189055,0.049751244,0,0,0,0.002493766,0,0,-0.498753117,100,8000,0.81
2015,10,0.498753117,2010,2010,2010,0.082987552,0.062227754,0.049776008,0,0,0,0.002487562,0.002487562,0.002487562,0.747509336,500,-4000,0.27
2005,-5,-0.248756219,2009,2009,2009,-0.08291874,-0.062189055,0.199501247,0,0,0,0.002487562,0.002487562,0.002487562,-0.248756219,1700,34000,0.41
2010,0,0,2005,2005,2005,0,0.311915159,0.25,-1,-1,0,-0.002487562,-0.002487562,0.010075567,0,-100,44000,-0.73
2010,0,0,2000,2000,2000,0.416319734,0.312891114,0.250626566,-1,0,0,0,0.012594458,0.012594458,0,1700,17000,-0.07
2010,0,0,1995,1995,1995,0.418060201,0.313873195,0.301659125,0,0,0,0.012594458,0.012594458,0.012594458,-1.259445844,700,40000,-0.96
2010,25,1.259445844,1989,1989,1989,0.419815281,0.378071834,0.353178607,0,0,0,0.012594458,0.012594458,0.015151515,1.259445844,-1500,-10000,0.06
1985,0,0,1982,1982,1982,0.084033613,0.126182965,0.101010101,0,0,0,0.012594458,0.015151515,0.017721519,0,100,24000,-0.29
